"Nome Urna			Partido"
"MILENE DA CEILÂDIA			AVANTE"
"MIRIAN DUTRA			PTC"
"MISA MORENA			PMB"
"MISSIONARIO CARLOS			PR"
"MOISES MARQUES			PDT"
"MÔNICA ALVARES			PSDB"
"MONICA D' AIDÊ			PSC"
"MÔNICA NÓBREGA			PSB"
"MOREIRA			PTB"
"NADIR BALEIRA			PV"
"NÁGELA MARIA			PSDB"
"NAIR			PSC"
"NAJH			PRB"
"NATÁLIA MAZZOLI			PODE"
"NATAN			PHS"
"NATANAEL SAULO			REDE"
"NAYRA RAMOS			PDT"
"NEGALAIZE			PT"
"NEGÃO DO PARANOÁ			PPL"
"NEGUIN			PDT"
"NEIA AMORIM			PSB"
"NEIDE NEIVA			PP"
"NÉLIO DOMINGUES			NOVO"
"NERLY LIMA			PPS"
"NERY DO BRASIL			AVANTE"
"NETO NOROESTE 			PPS"
"NETO TO CONTIGO			PROS"
"NEUSA BARBOSA			PR"
"NEVITON MONOVIM			PSC"
"NICANOR FERREIRA			PR"
"NILDO NAVES			PRP"
"NILO ARTHUR			PPS"
"NILSON DA FEMEI			PROS"
"NILZA GOMES			PMN"
"NOEMI BARUZZI			PSDB"
"NÚBIA LIMA			PRP"
"O FISCAL DE BRASÍLIA			PSDB"
"O PAPAI CHEGOU			DEM"
"OSÉIAS RIBEIRO			PHS"
"OSVALDO RODRIGUES			PPS"
"OSVANILDO LOURENSO			PT"
"OZIEL PAZ			PODE"
"PABLO VALENTE			PP"
"PAI RESENDE			PPL"
"PALHAÇO LAMBY SAL			PMN"
"PASTORA MARIA TRINDADE			PSC"
"PASTORA ROSE			PHS"
"PASTORA WALL			PT"
"PASTOR BERNARDO			PPL"
"PASTOR DANIEL DE CASTRO			PSC"
"PASTOR FIGUEIREDO PARANAGUÁ			PSDB"
"PASTOR JOÃO PAULO			PP"
"PASTOR JORGE BOMBEIRO			PR"
"PATRICIA AMADA 			NOVO"
"PATRÍCIA GUIMARÃES			PDT"
"PATRÍCIO			PDT"
"PAULA AIK			PRP"
"PAULA ALVES PSICOPEDAGOGA			AVANTE"
"PAULA BENETT			PSB"
"PAULINHO CARDOSO			PSL"
"PAULINHO MADRUGADA			PRP"
"PAULO ALEGRIA			PHS"
"PAULO BODÃO			PSD"
"PAULO CORRÊA			MDB"
"PAULO COSTA - PC			REDE"
"PAULO MARTINS			PRP"
"PAULO MONTEIRO			PTB"
"PAULO MOURA			PSC"
"PAULO PITOMBEIRA			PMB"
"PAULO POLI			PTB"
"PAULO RENATO			PMB"
"PAULO ROBERTO			PRB"
"PAULO THIAGO CAVEIRA			PTC"
"PAULO TORRES VIP			PSC"
"PEDIATRA FABIANA			PPS"
"PEDRÃO			PPS"
"PEDRO BARROS			PP"
"PEDRO IVO			PPS"
"PEDRO LEITE			PODE"
"PEDRO PAULO DO NOVO			NOVO"
"PEDRO SILVA			PSC"
"PEIXE			PSC"
"PEPA			PSC"
"PEREIRA			PMB"
